ref_id,head,tail,start codon,stop codon
B0205.3.3,1,1313,58,1098
B0205.4.1,1,1365,97,1296
B0205.5.1,1,260,82,180
B0205.6.1,1,1432,53,1291
B0205.7.1,1,1475,18,1100
B0205.8.1,1,508,16,378
B0205.8.2,1,562,70,432
B0205.9.1,1,1837,18,1616
B0205.9.2,1,1938,18,1616
B0207.1.1,1,1955,245,1939
B0207.10.1,1,276,13,258
B0207.11.1,1,884,58,804
B0207.12a.1,1,2107,1,1251
B0207.12a.2,1,1826,1,1251
B0207.12a.3,1,2140,7,1257
B0207.12a.4,1,2017,7,1257
B0207.12b.1,1,1463,1,1293
B0207.12c.1,1,2290,1,720
B0207.12c.2,1,1430,1,720
B0207.2.1,1,816,61,636
B0207.2.2,1,1039,284,859
B0207.3.1,1,1370,30,1256
B0207.4.1,1,1121,8,925
B0207.4.2,1,1193,82,999
B0207.5a.1,1,11033,1,10965
B0207.5b.1,1,11063,1,10995
B0207.6.1,1,987,14,820
B0207.7.1,1,1364,93,1214
B0207.9.1,1,482,15,440
B0207.9.2,1,537,70,495
B0212.1a.1,1,1871,24,1871
B0212.1b.1,1,2259,1,2259
B0212.1c.1,1,2269,240,2135
B0212.1c.2,1,2449,424,2319
B0212.2.1,1,1218,11,1189
B0212.3.1,1,2143,53,2071
B0212.3.2,1,2184,53,2071
B0212.4a.1,1,1345,9,1157
B0212.4b.1,1,1525,186,1337
B0212.4c.1,1,1165,36,977
B0212.4d.1,1,1350,779,1162
B0212.4d.2,1,1347,776,1159
B0212.4d.3,1,1322,751,1134
B0212.4d.4,1,710,139,522
B0212.4d.5,1,584,13,396
B0212.5.1,1,2875,1,2814
B0213.10.1,1,1533,34,1533
B0213.11a.1,1,1637,62,1558
B0213.11b.1,1,1656,597,1577
B0213.11c.1,1,1405,1,1326
B0213.12.1,1,1578,1,1500
B0213.14.1,1,1641,72,1571
B0213.14.2,1,1667,63,1562
B0213.15a.1,1,1630,31,1530
B0213.15b.1,1,1606,31,1581
B0213.15c.1,1,454,1,360
B0213.15d.1,1,411,1,411
B0213.16.1,1,1571,12,1511
B0213.17.1,1,263,7,186
B0213.17.2,1,310,7,186
B0213.2.1,1,317,42,260
B0213.2.2,1,308,41,259
B0213.3.1,1,334,35,232
B0213.4.1,1,358,27,248
B0213.4.2,1,383,52,273
B0213.4.3,1,365,32,253
B0213.5.1,1,714,403,612
B0213.6.1,1,451,124,351
B0213.7.1,1,1002,1,1002
B0213.8.1,1,1089,1,1089
B0213.9.1,1,1103,1,1035
B0218.1.1,1,1823,36,1754
B0218.1.2,1,1850,16,1734
B0218.1.3,1,1841,7,1725
B0218.1.4,1,1899,65,1783
B0218.2.1,1,1922,7,1722
B0218.3.1,1,1676,13,1146
B0218.3.2,1,1536,13,1146
B0218.3.3,1,1551,19,1152
B0218.5.1,1,1305,141,1244
B0218.6a.1,1,1020,24,950
B0218.6b.1,1,625,1,555
B0218.7.1,1,1084,156,1004
B0218.8.1,1,1027,61,987
B0222.1.1,1,977,45,902
B0222.11.1,1,1332,149,1219
B0222.15.1,1,479,44,394
B0222.2.1,1,1485,1,1485
B0222.3.1,1,1622,3,1487
B0222.4.1,1,1772,7,1635
B0222.5.1,1,1522,4,1113
B0222.6.1,1,1833,840,1724
B0222.6.2,1,1838,845,1729
B0222.6.3,1,1785,792,1676
B0222.6.4,1,1787,794,1678
B0222.6.5,1,1693,768,1652
B0222.6.6,1,1702,768,1652
B0222.6.7,1,1761,768,1652
B0222.6.8,1,1009,16,900
B0222.7.1,1,961,17,901
B0222.8.1,1,1087,148,1032
B0222.8.10,1,1945,148,1032
B0222.8.11,1,1963,148,1032
B0222.8.12,1,1937,148,1032
B0222.8.13,1,1129,148,1032
B0222.8.14,1,1006,89,973
B0222.8.15,1,1007,89,973
B0222.8.16,1,1862,89,973
B0222.8.17,1,1888,89,973
B0222.8.18,1,1868,89,973
B0222.8.19,1,1840,89,973
B0222.8.2,1,1078,148,1032
B0222.8.20,1,1850,89,973
B0222.8.21,1,998,89,973
B0222.8.3,1,1079,148,1032
B0222.8.4,1,1082,148,1032
B0222.8.5,1,2050,148,1032
B0222.8.6,1,2032,148,1032
B0222.8.7,1,2015,148,1032
B0222.8.8,1,1972,148,1032
B0222.8.9,1,1947,148,1032
B0222.9.1,1,3848,24,3797
B0228.1.1,1,1401,666,1340
B0228.4a.1,1,5203,1,4902
B0228.4c.1,1,23419,1,23118
B0228.4d.1,1,4527,1,4140
B0228.4e.1,1,8410,1,8109
B0228.5a.1,1,552,25,372
B0228.5b.1,1,593,69,413
B0228.6.1,1,1052,11,892
B0228.7.1,1,1571,667,1533
B0228.7.2,1,925,13,879
B0228.7.3,1,1342,430,1296
B0228.8.1,1,1365,1,1365
B0228.9.1,1,1332,1,1332
B0238.1.1,1,1811,76,1713
B0238.10.1,1,1043,27,863
B0238.10.2,1,1103,33,869
B0238.10.3,1,1180,163,999
B0238.11.1,1,1119,6,959
B0238.11.2,1,1226,15,968
B0238.12.1,1,2663,2060,2560
B0238.12.2,1,1279,676,1176
B0238.12.3,1,1361,758,1258
B0238.12.4,1,2118,1512,2012
B0238.15.1,1,436,1,249
B0238.3.1,1,843,1,843
B0238.5a.1,1,971,36,971
B0238.6.1,1,972,1,972
B0238.7.1,1,1737,1,1737
B0238.8.1,1,1009,60,947
B0238.8.2,1,1107,155,1042
B0238.9.1,1,2018,40,1458
B0240.1.1,1,1455,2,1375
B0240.1.2,1,1488,2,1375
B0240.2.1,1,2542,29,2353
B0240.3a.1,1,3817,1,3234
B0240.3b.1,1,3163,1,2580
B0240.4.1,1,1965,3,1769
B0244.10a.1,1,1357,29,1135
B0244.10b.1,1,1192,36,329
B0244.15.1,1,1155,1,1155
B0244.16.1,1,1083,1,1083
B0244.17.1,1,1059,1,1059
B0244.2.1,1,2633,100,2403
B0244.4a.1,1,960,1,930
B0244.4b.1,1,1077,1,1077
B0244.4c.1,1,891,1,891
B0244.5.1,1,1244,10,1098
B0244.6.1,1,1125,1,1125
B0244.7.1,1,1095,1,1095
B0244.8.1,1,1795,4,1659
B0244.9.1,1,632,39,581
B0250.1.1,1,876,7,789
B0250.10.1,1,921,1,852
B0250.18a.1,1,162,1,162
B0250.18b.1,1,66,1,66
B0250.2.1,1,842,171,704
B0250.5.1,1,1032,8,907
B0250.5.2,1,1089,8,907
B0250.6.1,1,852,1,852
B0250.7b.1,1,117,1,117
B0250.8.1,1,692,1,501
B0250.9.1,1,1481,14,1387
B0250.9.2,1,1491,24,1397
B0250.9.3,1,1492,14,1387
B0252.1.1,1,2686,94,2523
B0252.11.1,1,318,21,260
B0252.2.1,1,1828,13,1707
B0252.2.2,1,1869,54,1748
B0252.3a.1,1,1586,529,1422
B0252.3a.2,1,1867,810,1703
B0252.3a.3,1,1868,811,1704
B0252.3b.1,1,1620,1,1455
B0252.3c.1,1,1584,25,1419
B0252.3c.2,1,1724,165,1559
B0252.4a.1,1,447,4,447
B0252.4b.1,1,621,2,487
B0252.5.1,1,794,86,715
B0252.8.1,1,350,88,297
B0261.1.1,1,2618,15,2354
B0261.1.2,1,2647,15,2354
B0261.1.3,1,2576,17,2356
B0261.2a.1,1,8562,39,8126
B0261.2b.1,1,8553,39,8117
B0261.4a.1,1,925,111,815
B0261.4b.1,1,777,17,667
B0261.5.1,1,1560,907,1497
B0261.6a.1,1,617,49,510
B0261.6b.1,1,580,215,469
B0261.6b.2,1,539,178,432
B0261.6b.3,1,586,225,479
B0261.6b.4,1,571,210,464
B0261.7.1,1,1169,12,1067
B0261.7.2,1,1324,12,1067
B0261.8.1,1,664,11,556
B0261.9.1,1,526,1,504
B0272.1.1,1,1567,3,1337
B0272.2.1,1,968,8,649
B0272.3.1,1,1052,2,931
B0272.4.1,1,969,8,775
B0273.115.1,1,480,27,410
B0273.1a.1,1,770,51,722
B0273.1a.2,1,758,35,706
B0273.1a.3,1,776,53,724
B0273.1b.1,1,337,1,285
B0273.2.1,1,1843,36,1493
B0273.2.10,1,1913,64,1521
B0273.2.11,1,1913,64,1521
B0273.2.12,1,1901,64,1521
B0273.2.13,1,1902,64,1521
B0273.2.14,1,1915,64,1521
B0273.2.15,1,1893,64,1521
B0273.2.16,1,1874,64,1521
B0273.2.17,1,1883,64,1521
B0273.2.18,1,1887,64,1521
B0273.2.19,1,1866,64,1521
B0273.2.2,1,1943,36,1493
B0273.2.3,1,1873,36,1493
B0273.2.4,1,1876,36,1493
B0273.2.5,1,1871,36,1493
B0273.2.6,1,1871,36,1493
B0273.2.7,1,1866,36,1493
B0273.2.8,1,1857,36,1493
B0273.2.9,1,1831,36,1493
B0273.3.1,1,1475,49,1326
B0273.4a.1,1,3027,3,2762
B0273.4b.1,1,2146,3,1706
B0273.4c.1,1,3107,1,2844
B0273.4d.1,1,2705,5,2440
B0273.4e.1,1,2523,1,2259
B0273.4f.1,1,2238,1,1974
B0280.10a.1,1,1216,14,1216
B0280.10b.1,1,462,1,462
B0280.10c.1,1,1140,1,1140
B0280.11.1,1,1390,33,1358
B0280.12a.1,1,2764,1,2727
B0280.12b.1,1,3036,66,2999
B0280.13.1,1,1916,8,1858
B0280.17.1,1,929,87,869
B0280.1a.1,1,1180,118,1125
B0280.1b.1,1,2422,95,1072
B0280.2.1,1,2007,24,1907
B0280.3.1,1,990,58,813
B0280.3.2,1,953,21,776
B0280.4.1,1,1192,9,737
B0280.5.1,1,1730,5,1579
B0280.7.1,1,1173,53,1087
B0280.8.1,1,1546,5,1192
B0280.9.1,1,1399,5,1294
B0281.1.1,1,465,1,465
B0281.3.1,1,1097,39,1028
B0281.4.1,1,745,211,654
B0281.5a.1,1,840,129,752
B0281.5b.1,1,721,96,635
B0281.6.1,1,933,202,840
B0281.8.1,1,879,1,879
B0284.1.1,1,3012,1350,2645
B0284.2.1,1,1399,1,1275
B0284.3.1,1,659,1,492
B0284.4.1,1,1263,1,1263
B0285.10.1,1,1107,1,1107
B0285.1a.1,1,2605,160,2352
B0285.1b.1,1,2628,160,2364
B0285.1c.1,1,2608,160,2355
B0285.1c.2,1,2457,9,2204
B0285.3.1,1,746,143,643
B0285.4.1,1,1168,17,1018
B0285.4.2,1,1312,17,1018
B0285.5.1,1,2198,4,1854
B0285.5.2,1,2198,4,1854
B0285.5.3,1,2201,4,1854
B0285.5.4,1,2196,4,1854
B0285.5.5,1,2269,79,1929
B0285.6.1,1,1818,1,1734
B0285.7.1,1,2877,146,2491
B0285.8.1,1,1349,156,1271
B0285.9.1,1,1198,28,1137
B0285.9.2,1,1266,93,1202
B0285.9.3,1,1318,145,1254
B0286.1.1,1,1022,179,871
B0286.1.2,1,1049,206,898
B0286.1.3,1,1107,264,956
B0286.2a.1,1,4420,1,4017
B0286.2b.1,1,1783,1,1380
B0286.3.1,1,1476,83,1354
B0286.4a.1,1,1600,59,1393
B0286.4a.2,1,1884,343,1677
B0286.4b.1,1,1345,36,1139
B0286.4c.1,1,1620,460,1413
B0286.4c.2,1,1469,309,1262
B0286.4c.3,1,1747,587,1540
B0286.4c.4,1,1679,519,1472
B0286.4c.5,1,1542,382,1335
B0286.4c.6,1,1313,153,1106
B0286.4d.1,1,1290,7,1083
B0286.5.1,1,1380,119,1090
B0286.6.1,1,1181,268,1107
B0294.1.1,1,627,1,435
B0294.3.1,1,567,1,567
B0302.1a.1,1,4038,9,3722
B0302.1a.2,1,4081,9,3722
B0302.1b.1,1,3771,9,3401
B0302.2.1,1,409,308,409
B0302.4.1,1,219,1,96
B0302.5.1,1,772,20,517
B0303.11a.1,1,2933,53,2782
B0303.11a.2,1,3005,125,2854
B0303.11b.1,1,2979,53,2836
B0303.11b.2,1,3051,125,2908
B0303.14.1,1,1581,29,1252
B0303.15.1,1,688,4,591
B0303.16.1,1,927,1,927
B0303.2.1,1,978,2,823
B0303.2.2,1,977,1,822
B0303.3.1,1,1876,4,1350
B0303.3.2,1,1643,4,1350
B0303.3.3,1,1641,4,1350
B0303.3.4,1,1915,43,1389
B0303.3.5,1,1914,42,1388
B0303.3.6,1,1910,38,1384
B0303.3.7,1,1647,11,1357
B0303.4.1,1,2184,20,1870
B0303.4.2,1,2276,112,1962
B0303.7a.1,1,1826,18,1499
B0303.7b.1,1,1837,107,1510
B0303.8.1,1,809,4,723
B0303.9.1,1,2026,1,1812
B0304.1a.1,1,1116,68,1030
B0304.1b.1,1,1063,3,977
B0304.1b.2,1,1128,68,1042
B0304.1c.1,1,1085,3,962
B0304.1c.2,1,1150,68,1027
B0304.2.1,1,815,23,679
B0304.3.1,1,1721,16,1620
B0304.4.1,1,639,103,489
B0304.4.2,1,625,89,475
B0304.5.1,1,1087,17,1033
B0304.5.2,1,1047,1,1017
B0304.6.1,1,992,1,984
B0304.7.1,1,1068,1,1068
B0304.8.1,1,1020,1,1020
B0304.9.1,1,1065,1,1065
B0310.1a.1,1,1092,1,795
B0310.1b.1,1,1340,165,1043
B0310.2a.1,1,1592,11,1252
B0310.2b.1,1,1403,11,1063
B0310.3.1,1,1784,387,1640
B0310.3.2,1,1557,159,1412
B0310.3.3,1,1456,60,1313
B0310.3.4,1,1400,11,1264
B0310.5a.1,1,1892,152,1747
B0310.5b.1,1,2613,152,667
B0310.5b.2,1,2750,152,667
B0310.6.1,1,410,49,336
B0331.1.1,1,1537,3,1511
B0331.2.1,1,1823,2,1573
B0334.1.1,1,571,28,447
B0334.1.2,1,545,2,421
B0334.10.1,1,553,5,553
B0334.11a.1,1,1659,8,1354
B0334.11b.1,1,1646,1,1341
B0334.13.1,1,497,37,411
B0334.15.1,1,694,63,497
B0334.15.2,1,549,63,497
B0334.2.1,1,1017,85,930
B0334.2.2,1,1076,144,989
B0334.20.1,1,206,6,206
B0334.3a.1,1,2012,1,1905
B0334.3a.2,1,2088,77,1981
B0334.3b.1,1,2052,254,1945
B0334.3b.2,1,2038,240,1931
B0334.3b.3,1,2022,224,1915
B0334.3b.4,1,2018,220,1911
B0334.4.1,1,826,12,644
B0334.5.1,1,1416,1,1263
B0334.6.1,1,1374,3,1187
B0334.7.1,1,1017,1,1017
B0334.8a.1,1,3929,1,3549
B0334.8b.1,1,429,1,231
B0336.10.1,1,469,6,428
B0336.10.2,1,514,13,435
B0336.10.3,1,521,6,428
B0336.10.4,1,483,13,435
B0336.11a.1,1,1740,2,1705
B0336.11b.1,1,1737,758,1702
B0336.11b.2,1,1181,202,1146
B0336.12.1,1,501,1,282
B0336.13.1,1,635,13,432
B0336.1a.1,1,2815,60,2450
B0336.1a.2,1,2797,34,2424
B0336.1b.1,1,2602,1,2229
B0336.2.1,1,1115,2,547
B0336.2.10,1,1275,62,607
B0336.2.11,1,1073,4,549
B0336.2.12,1,828,4,549
B0336.2.2,1,1116,2,547
B0336.2.3,1,1217,2,547
B0336.2.4,1,1158,2,547
B0336.2.5,1,1333,120,665
B0336.2.6,1,1312,99,644
B0336.2.7,1,1142,30,575
B0336.2.8,1,1245,30,575
B0336.2.9,1,1272,59,604
B0336.3a.1,1,2896,39,2198
B0336.3b.1,1,2893,39,2177
B0336.3c.1,1,2899,39,2204
B0336.3d.1,1,2701,39,2006
B0336.4a.1,1,1991,262,1740
B0336.4b.1,1,1893,256,1635
B0336.5a.1,1,862,109,714
B0336.5b.1,1,878,119,733
B0336.6.1,1,1556,25,1434
B0336.6.2,1,1568,35,1444
B0336.7a.1,1,1578,19,1524
B0336.7b.1,1,1554,265,1500
B0336.8.1,1,433,4,360
B0336.9a.1,1,2381,1,2250
B0336.9b.1,1,2414,328,2319
B0336.9b.2,1,2399,313,2304
B0336.9b.3,1,2401,315,2306
B0336.9b.4,1,2933,847,2838
B0336.9b.5,1,2396,310,2301
B0336.9c.1,1,2924,4,204
B0336.9c.2,1,2841,6,206
B0336.9d.1,1,2354,4,2259
B0336.9e.1,1,2392,4,228
B0336.9e.2,1,571,4,228
B0344.2.1,1,2088,2,1663
B0348.1.1,1,264,1,264
B0348.10.1,1,610,232,396
B0348.2a.1,1,461,158,418
B0348.2b.1,1,271,9,71
B0348.4a.1,1,4939,183,4442
B0348.4a.2,1,4973,183,4442
B0348.4b.1,1,5005,183,4478
B0348.4b.2,1,4975,183,4478
B0348.4c.1,1,2239,183,1961
B0348.4d.1,1,5248,183,4721
B0348.4d.2,1,5218,183,4721
B0348.4e.1,1,5182,183,4685
B0348.4e.2,1,5216,183,4685
B0348.4f.1,1,4930,183,4403
B0348.4f.2,1,4900,183,4403
B0348.4g.1,1,4864,183,4367
B0348.4g.2,1,4901,183,4367
B0348.4h.1,1,4687,183,4160
B0348.4h.2,1,4657,183,4160
B0348.4i.1,1,4621,183,4124
B0348.4i.2,1,4655,183,4124
B0348.4j.1,1,4750,183,4223
B0348.4j.2,1,4720,183,4223
B0348.4k.1,1,4684,183,4187
B0348.4k.2,1,4718,183,4187
B0348.4l.1,1,4507,183,3980
B0348.4l.2,1,4477,183,3980
B0348.4m.1,1,4441,183,3944
B0348.4m.2,1,4475,183,3944
B0348.4n.1,1,5164,183,4637
B0348.4n.2,1,5134,183,4637
B0348.4o.1,1,5098,183,4601
B0348.4o.2,1,5132,183,4601
B0348.4p.1,1,4921,183,4394
B0348.4p.2,1,4891,183,4394
B0348.4q.1,1,4855,183,4358
B0348.4q.2,1,4889,183,4358
B0348.4r.1,1,4846,183,4319
B0348.4r.2,1,4816,183,4319
B0348.4s.1,1,4780,183,4283
B0348.4s.2,1,4814,183,4283
B0348.4t.1,1,4603,183,4076
B0348.4t.2,1,4573,183,4076
B0348.4u.1,1,4537,183,4040
B0348.4u.2,1,4571,183,4040
B0348.4v.1,1,4666,183,4139
B0348.4v.2,1,4636,183,4139
B0348.4w.1,1,4600,183,4103
B0348.4w.2,1,4634,183,4103
B0348.4x.1,1,4423,183,3896
B0348.4x.2,1,4393,183,3896
B0348.4y.1,1,4366,183,3860
B0348.4y.2,1,4391,183,3860
B0348.5a.1,1,1327,121,1206
B0348.5b.1,1,1028,110,907
B0348.6a.1,1,1103,5,751
B0348.6a.2,1,940,5,751
B0348.6b.1,1,1108,5,760
B0348.6b.2,1,949,5,760
B0348.6c.1,1,1106,5,757
B0348.6c.2,1,946,5,757
B0348.6c.3,1,987,11,763
B0350.2a.1,1,1203,33,986
B0350.2a.2,1,1132,32,985
B0350.2b.1,1,2981,64,2781
B0350.2b.2,1,5759,2842,5559
B0350.2b.3,1,5656,2739,5456
B0350.2b.4,1,5692,2739,5456
B0350.2b.5,1,5654,2736,5453
B0350.2b.6,1,4848,1930,4647
B0350.2c.1,1,5952,128,5731
B0350.2c.2,1,5844,20,5623
B0350.2c.3,1,5770,20,5623
B0350.2d.1,1,2628,41,2428
B0350.2d.10,1,5649,3061,5448
B0350.2d.11,1,3516,926,3313
B0350.2d.2,1,5673,3086,5473
B0350.2d.3,1,5676,3089,5476
B0350.2d.4,1,5670,3083,5470
B0350.2d.5,1,5665,3078,5465
B0350.2d.6,1,5613,3026,5413
B0350.2d.7,1,2983,396,2783
B0350.2d.8,1,2388,1,2388
B0350.2d.9,1,5677,3089,5476
B0350.2e.1,1,5874,128,5653
B0350.2e.2,1,5766,20,5545
B0350.2e.3,1,5692,20,5545
B0350.2f.1,1,21843,128,21112
B0350.2f.2,1,21735,20,21004
B0350.2f.3,1,21668,20,21004
B0350.2h.1,1,5775,128,5575
B0350.2h.2,1,5667,20,5467
B0350.2i.1,1,5535,2210,5314
B0350.2i.2,1,4300,975,4079
B0350.2i.3,1,3605,354,3458
B0350.2j.1,1,5678,2530,5478
