ref_id,ALL,UTR5,CDS,UTR3
B0212.4c.1,1-1165,1-35,36-977,978-1165
B0212.4d.1,1-1350,1-778,779-1162,1163-1350
B0212.4d.2,1-1347,1-775,776-1159,1160-1347
B0212.4d.3,1-1322,1-750,751-1134,1135-1322
B0212.4d.4,1-710,1-138,139-522,523-710
B0212.4d.5,1-584,1-12,13-396,397-584
B0212.5.1,1-2875,,1-2814,2815-2875
B0213.10.1,1-1533,1-33,34-1533,
B0213.11a.1,1-1637,1-61,62-1558,1559-1637
B0213.11b.1,1-1656,1-596,597-1577,1578-1656
B0213.11c.1,1-1405,,1-1326,1327-1405
B0213.12.1,1-1578,,1-1500,1501-1578
B0213.14.1,1-1641,1-71,72-1571,1572-1641
B0213.14.2,1-1667,1-62,63-1562,1563-1667
B0213.15a.1,1-1630,1-30,31-1530,1531-1630
B0213.15b.1,1-1606,1-30,31-1581,1582-1606
B0213.15c.1,1-454,,1-360,361-454
B0213.15d.1,1-411,,1-411,
B0213.16.1,1-1571,1-11,12-1511,1512-1571
B0213.17.1,1-263,1-6,7-186,187-263
B0213.17.2,1-310,1-6,7-186,187-310
B0213.2.1,1-317,1-41,42-260,261-317
B0213.2.2,1-308,1-40,41-259,260-308
B0213.3.1,1-334,1-34,35-232,233-334
B0213.4.1,1-358,1-26,27-248,249-358
B0213.4.2,1-383,1-51,52-273,274-383
B0213.4.3,1-365,1-31,32-253,254-365
B0213.5.1,1-714,1-402,403-612,613-714
B0213.6.1,1-451,1-123,124-351,352-451
B0213.7.1,1-1002,,1-1002,
B0213.8.1,1-1089,,1-1089,
B0213.9.1,1-1103,,1-1035,1036-1103
B0218.1.1,1-1823,1-35,36-1754,1755-1823
B0218.1.2,1-1850,1-15,16-1734,1735-1850
B0218.1.3,1-1841,1-6,7-1725,1726-1841
B0218.1.4,1-1899,1-64,65-1783,1784-1899
B0218.2.1,1-1922,1-6,7-1722,1723-1922
B0218.3.1,1-1676,1-12,13-1146,1147-1676
B0218.3.2,1-1536,1-12,13-1146,1147-1536
B0218.3.3,1-1551,1-18,19-1152,1153-1551
B0218.5.1,1-1305,1-140,141-1244,1245-1305
B0218.6a.1,1-1020,1-23,24-950,951-1020
B0218.6b.1,1-625,,1-555,556-625
B0218.7.1,1-1084,1-155,156-1004,1005-1084
B0218.8.1,1-1027,1-60,61-987,988-1027
B0222.1.1,1-977,1-44,45-902,903-977
B0222.11.1,1-1332,1-148,149-1219,1220-1332
B0222.15.1,1-479,1-43,44-394,395-479
B0222.2.1,1-1485,,1-1485,
B0222.3.1,1-1622,1-2,3-1487,1488-1622
B0222.4.1,1-1772,1-6,7-1635,1636-1772
B0222.5.1,1-1522,1-3,4-1113,1114-1522
B0222.6.1,1-1833,1-839,840-1724,1725-1833
B0222.6.2,1-1838,1-844,845-1729,1730-1838
B0222.6.3,1-1785,1-791,792-1676,1677-1785
B0222.6.4,1-1787,1-793,794-1678,1679-1787
B0222.6.5,1-1693,1-767,768-1652,1653-1693
B0222.6.6,1-1702,1-767,768-1652,1653-1702
B0222.6.7,1-1761,1-767,768-1652,1653-1761
B0222.6.8,1-1009,1-15,16-900,901-1009
B0222.7.1,1-961,1-16,17-901,902-961
B0222.8.1,1-1087,1-147,148-1032,1033-1087
B0222.8.10,1-1945,1-147,148-1032,1033-1945
B0222.8.11,1-1963,1-147,148-1032,1033-1963
B0222.8.12,1-1937,1-147,148-1032,1033-1937
B0222.8.13,1-1129,1-147,148-1032,1033-1129
B0222.8.14,1-1006,1-88,89-973,974-1006
B0222.8.15,1-1007,1-88,89-973,974-1007
B0222.8.16,1-1862,1-88,89-973,974-1862
B0222.8.17,1-1888,1-88,89-973,974-1888
B0222.8.18,1-1868,1-88,89-973,974-1868
B0222.8.19,1-1840,1-88,89-973,974-1840
B0222.8.2,1-1078,1-147,148-1032,1033-1078
B0222.8.20,1-1850,1-88,89-973,974-1850
B0222.8.21,1-998,1-88,89-973,974-998
B0222.8.3,1-1079,1-147,148-1032,1033-1079
B0222.8.4,1-1082,1-147,148-1032,1033-1082
B0222.8.5,1-2050,1-147,148-1032,1033-2050
B0222.8.6,1-2032,1-147,148-1032,1033-2032
B0222.8.7,1-2015,1-147,148-1032,1033-2015
B0222.8.8,1-1972,1-147,148-1032,1033-1972
B0222.8.9,1-1947,1-147,148-1032,1033-1947
B0222.9.1,1-3848,1-23,24-3797,3798-3848
B0228.1.1,1-1401,1-665,666-1340,1341-1401
B0228.4a.1,1-5203,,1-4902,4903-5203
B0228.4c.1,1-23419,,1-23118,23119-23419
B0228.4d.1,1-4527,,1-4140,4141-4527
B0228.4e.1,1-8410,,1-8109,8110-8410
B0228.5a.1,1-552,1-24,25-372,373-552
B0228.5b.1,1-593,1-68,69-413,414-593
B0228.6.1,1-1052,1-10,11-892,893-1052
B0228.7.1,1-1571,1-666,667-1533,1534-1571
B0228.7.2,1-925,1-12,13-879,880-925
B0228.7.3,1-1342,1-429,430-1296,1297-1342
B0228.8.1,1-1365,,1-1365,
B0228.9.1,1-1332,,1-1332,
B0238.1.1,1-1811,1-75,76-1713,1714-1811
B0238.10.1,1-1043,1-26,27-863,864-1043
B0238.10.2,1-1103,1-32,33-869,870-1103
B0238.10.3,1-1180,1-162,163-999,1000-1180
B0238.11.1,1-1119,1-5,6-959,960-1119
B0238.11.2,1-1226,1-14,15-968,969-1226
B0238.12.1,1-2663,1-2059,2060-2560,2561-2663
B0238.12.2,1-1279,1-675,676-1176,1177-1279
B0238.12.3,1-1361,1-757,758-1258,1259-1361
B0238.12.4,1-2118,1-1511,1512-2012,2013-2118
B0238.15.1,1-436,,1-249,250-436
B0238.3.1,1-843,,1-843,
B0238.5a.1,1-971,1-35,36-971,
B0238.6.1,1-972,,1-972,
B0238.7.1,1-1737,,1-1737,
B0238.8.1,1-1009,1-59,60-947,948-1009
B0238.8.2,1-1107,1-154,155-1042,1043-1107
B0238.9.1,1-2018,1-39,40-1458,1459-2018
B0240.1.1,1-1455,1-1,2-1375,1376-1455
B0240.1.2,1-1488,1-1,2-1375,1376-1488
B0240.2.1,1-2542,1-28,29-2353,2354-2542
B0240.3a.1,1-3817,,1-3234,3235-3817
B0240.3b.1,1-3163,,1-2580,2581-3163
B0240.4.1,1-1965,1-2,3-1769,1770-1965
B0244.10a.1,1-1357,1-28,29-1135,1136-1357
B0244.10b.1,1-1192,1-35,36-329,330-1192
B0244.15.1,1-1155,,1-1155,
B0244.16.1,1-1083,,1-1083,
B0244.17.1,1-1059,,1-1059,
B0244.2.1,1-2633,1-99,100-2403,2404-2633
B0244.4a.1,1-960,,1-930,931-960
B0244.4b.1,1-1077,,1-1077,
B0244.4c.1,1-891,,1-891,
B0244.5.1,1-1244,1-9,10-1098,1099-1244
B0244.6.1,1-1125,,1-1125,
B0244.7.1,1-1095,,1-1095,
B0244.8.1,1-1795,1-3,4-1659,1660-1795
B0244.9.1,1-632,1-38,39-581,582-632
B0250.1.1,1-876,1-6,7-789,790-876
B0250.10.1,1-921,,1-852,853-921
B0250.18a.1,1-162,,1-162,
B0250.18b.1,1-66,,1-66,
B0250.2.1,1-842,1-170,171-704,705-842
B0250.5.1,1-1032,1-7,8-907,908-1032
B0250.5.2,1-1089,1-7,8-907,908-1089
B0250.6.1,1-852,,1-852,
B0250.7b.1,1-117,,1-117,
B0250.8.1,1-692,,1-501,502-692
B0250.9.1,1-1481,1-13,14-1387,1388-1481
B0250.9.2,1-1491,1-23,24-1397,1398-1491
B0250.9.3,1-1492,1-13,14-1387,1388-1492
B0252.1.1,1-2686,1-93,94-2523,2524-2686
B0252.11.1,1-318,1-20,21-260,261-318
B0252.2.1,1-1828,1-12,13-1707,1708-1828
B0252.2.2,1-1869,1-53,54-1748,1749-1869
B0252.3a.1,1-1586,1-528,529-1422,1423-1586
B0252.3a.2,1-1867,1-809,810-1703,1704-1867
B0252.3a.3,1-1868,1-810,811-1704,1705-1868
B0252.3b.1,1-1620,,1-1455,1456-1620
B0252.3c.1,1-1584,1-24,25-1419,1420-1584
B0252.3c.2,1-1724,1-164,165-1559,1560-1724
B0252.4a.1,1-447,1-3,4-447,
B0252.4b.1,1-621,1-1,2-487,488-621
B0252.5.1,1-794,1-85,86-715,716-794
B0252.8.1,1-350,1-87,88-297,298-350
B0261.1.1,1-2618,1-14,15-2354,2355-2618
B0261.1.2,1-2647,1-14,15-2354,2355-2647
B0261.1.3,1-2576,1-16,17-2356,2357-2576
B0261.2a.1,1-8562,1-38,39-8126,8127-8562
B0261.2b.1,1-8553,1-38,39-8117,8118-8553
B0261.4a.1,1-925,1-110,111-815,816-925
B0261.4b.1,1-777,1-16,17-667,668-777
B0261.5.1,1-1560,1-906,907-1497,1498-1560
B0261.6a.1,1-617,1-48,49-510,511-617
B0261.6b.1,1-580,1-214,215-469,470-580
B0261.6b.2,1-539,1-177,178-432,433-539
B0261.6b.3,1-586,1-224,225-479,480-586
B0261.6b.4,1-571,1-209,210-464,465-571
B0261.7.1,1-1169,1-11,12-1067,1068-1169
B0261.7.2,1-1324,1-11,12-1067,1068-1324
B0261.8.1,1-664,1-10,11-556,557-664
B0261.9.1,1-526,,1-504,505-526
B0272.1.1,1-1567,1-2,3-1337,1338-1567
B0272.2.1,1-968,1-7,8-649,650-968
B0272.3.1,1-1052,1-1,2-931,932-1052
B0272.4.1,1-969,1-7,8-775,776-969
B0273.115.1,1-480,1-26,27-410,411-480
B0273.1a.1,1-770,1-50,51-722,723-770
B0273.1a.2,1-758,1-34,35-706,707-758
B0273.1a.3,1-776,1-52,53-724,725-776
B0273.1b.1,1-337,,1-285,286-337
B0273.2.1,1-1843,1-35,36-1493,1494-1843
B0273.2.10,1-1913,1-63,64-1521,1522-1913
B0273.2.11,1-1913,1-63,64-1521,1522-1913
B0273.2.12,1-1901,1-63,64-1521,1522-1901
B0273.2.13,1-1902,1-63,64-1521,1522-1902
B0273.2.14,1-1915,1-63,64-1521,1522-1915
B0273.2.15,1-1893,1-63,64-1521,1522-1893
B0273.2.16,1-1874,1-63,64-1521,1522-1874
B0273.2.17,1-1883,1-63,64-1521,1522-1883
B0273.2.18,1-1887,1-63,64-1521,1522-1887
B0273.2.19,1-1866,1-63,64-1521,1522-1866
B0273.2.2,1-1943,1-35,36-1493,1494-1943
B0273.2.3,1-1873,1-35,36-1493,1494-1873
B0273.2.4,1-1876,1-35,36-1493,1494-1876
B0273.2.5,1-1871,1-35,36-1493,1494-1871
B0273.2.6,1-1871,1-35,36-1493,1494-1871
B0273.2.7,1-1866,1-35,36-1493,1494-1866
B0273.2.8,1-1857,1-35,36-1493,1494-1857
B0273.2.9,1-1831,1-35,36-1493,1494-1831
B0273.3.1,1-1475,1-48,49-1326,1327-1475
B0273.4a.1,1-3027,1-2,3-2762,2763-3027
B0273.4b.1,1-2146,1-2,3-1706,1707-2146
B0273.4c.1,1-3107,,1-2844,2845-3107
B0273.4d.1,1-2705,1-4,5-2440,2441-2705
B0273.4e.1,1-2523,,1-2259,2260-2523
B0273.4f.1,1-2238,,1-1974,1975-2238
B0280.10a.1,1-1216,1-13,14-1216,
B0280.10b.1,1-462,,1-462,
B0280.10c.1,1-1140,,1-1140,
B0280.11.1,1-1390,1-32,33-1358,1359-1390
B0280.12a.1,1-2764,,1-2727,2728-2764
B0280.12b.1,1-3036,1-65,66-2999,3000-3036
B0280.13.1,1-1916,1-7,8-1858,1859-1916
B0280.17.1,1-929,1-86,87-869,870-929
B0280.1a.1,1-1180,1-117,118-1125,1126-1180
B0280.1b.1,1-2422,1-94,95-1072,1073-2422
B0280.2.1,1-2007,1-23,24-1907,1908-2007
B0280.3.1,1-990,1-57,58-813,814-990
B0280.3.2,1-953,1-20,21-776,777-953
B0280.4.1,1-1192,1-8,9-737,738-1192
B0280.5.1,1-1730,1-4,5-1579,1580-1730
B0280.7.1,1-1173,1-52,53-1087,1088-1173
B0280.8.1,1-1546,1-4,5-1192,1193-1546
B0280.9.1,1-1399,1-4,5-1294,1295-1399
B0281.1.1,1-465,,1-465,
B0281.3.1,1-1097,1-38,39-1028,1029-1097
B0281.4.1,1-745,1-210,211-654,655-745
B0281.5a.1,1-840,1-128,129-752,753-840
B0281.5b.1,1-721,1-95,96-635,636-721
B0281.6.1,1-933,1-201,202-840,841-933
B0281.8.1,1-879,,1-879,
B0284.1.1,1-3012,1-1349,1350-2645,2646-3012
B0284.2.1,1-1399,,1-1275,1276-1399
B0284.3.1,1-659,,1-492,493-659
B0284.4.1,1-1263,,1-1263,
B0285.10.1,1-1107,,1-1107,
B0285.1a.1,1-2605,1-159,160-2352,2353-2605
B0285.1b.1,1-2628,1-159,160-2364,2365-2628
B0285.1c.1,1-2608,1-159,160-2355,2356-2608
B0285.1c.2,1-2457,1-8,9-2204,2205-2457
B0285.3.1,1-746,1-142,143-643,644-746
B0285.4.1,1-1168,1-16,17-1018,1019-1168
B0285.4.2,1-1312,1-16,17-1018,1019-1312
B0285.5.1,1-2198,1-3,4-1854,1855-2198
B0285.5.2,1-2198,1-3,4-1854,1855-2198
B0285.5.3,1-2201,1-3,4-1854,1855-2201
B0285.5.4,1-2196,1-3,4-1854,1855-2196
B0285.5.5,1-2269,1-78,79-1929,1930-2269
B0285.6.1,1-1818,,1-1734,1735-1818
B0285.7.1,1-2877,1-145,146-2491,2492-2877
B0285.8.1,1-1349,1-155,156-1271,1272-1349
B0285.9.1,1-1198,1-27,28-1137,1138-1198
B0285.9.2,1-1266,1-92,93-1202,1203-1266
B0285.9.3,1-1318,1-144,145-1254,1255-1318
B0286.1.1,1-1022,1-178,179-871,872-1022
