ref_id,length
B0024.4.1,1353
B0024.6a.1,3249
B0024.6b.1,3261
B0024.8a.1,3939
B0024.8b.1,2353
B0024.8c.1,1896
B0024.8d.1,1890
B0024.9a.1,522
B0024.9a.2,553
B0024.9b.1,475
B0025.1a.1,2799
B0025.1b.1,3005
B0025.1b.2,2801
B0025.1b.3,2802
B0025.1b.4,2783
B0025.1b.5,2768
B0025.1b.6,2802
B0025.1c.1,2790
B0025.2.1,1629
B0025.2.2,1625
B0025.4.1,585
B0025.5.1,389
B0034.1.1,974
B0034.2.1,120
B0034.3a.1,3998
B0034.3a.2,3157
B0034.3b.1,1678
B0034.3b.2,750
B0034.3c.1,1496
B0034.3c.2,646
B0034.4.1,1240
B0034.5.1,1095
B0034.7.1,412
B0035.10.1,574
B0035.10.2,486
B0035.11.1,1483
B0035.12.1,2814
B0035.12.2,2891
B0035.12.3,2830
B0035.12.4,2777
B0035.13.1,991
B0035.13.2,1021
B0035.14a.1,1670
B0035.14a.2,1698
B0035.14b.1,596
B0035.15.1,1129
B0035.16.1,1220
B0035.18.1,335
B0035.1a.1,1332
B0035.1b.1,1240
B0035.2.1,1298
B0035.2.2,1204
B0035.2.3,1193
B0035.21.1,310
B0035.22.1,30
B0035.3.1,898
B0035.3.2,852
B0035.4.1,548
B0035.4.2,613
B0035.5.1,1745
B0035.6.1,2487
B0035.6.2,2527
B0035.7.1,587
B0035.8.1,504
B0035.9.1,312
B0041.1.1,665
B0041.1.2,654
B0041.1.3,683
B0041.11.1,1081
B0041.11.2,787
B0041.11.3,714
B0041.11.4,427
B0041.12.1,33
B0041.2a.1,2980
B0041.2a.2,3139
B0041.2a.3,3120
B0041.2a.4,3144
B0041.2b.1,3131
B0041.2c.1,2972
B0041.2c.2,3112
B0041.2c.3,3053
B0041.2c.4,2899
B0041.2d.1,3135
B0041.2e.1,3075
B0041.2f.1,3071
B0041.2g.1,2918
B0041.2g.2,3069
B0041.2g.3,3058
B0041.3.1,549
B0041.4.1,1176
B0041.5a.1,1533
B0041.5c.1,1386
B0041.6a.1,464
B0041.6b.1,456
B0041.7.1,4317
B0041.7.2,4533
B0041.8.1,900
B0041.8.2,759
B0047.1.1,1147
B0047.3.1,832
B0047.4.1,651
B0198.1.1,1415
B0198.2a.1,1296
B0198.2b.1,1277
B0198.3a.1,3427
B0198.3a.2,3467
B0198.3a.3,3473
B0205.10.1,1503
B0205.10.2,1460
B0205.10.3,1442
B0205.11.1,954
B0205.11.2,950
B0205.11.3,978
B0205.12.1,231
B0205.13.1,453
B0205.14.1,364
B0205.14.2,1092
B0205.14.3,401
B0205.14.4,718
B0205.1a.1,2614
B0205.1a.2,2655
B0205.1a.3,2584
B0205.1b.1,2393
B0205.1b.2,2438
B0205.2a.1,1317
B0205.2b.1,990
B0205.3.1,1290
B0205.3.2,1197
B0205.3.3,1313
B0205.4.1,1365
B0205.5.1,260
B0205.6.1,1432
B0205.7.1,1475
B0205.8.1,508
B0205.8.2,562
B0205.9.1,1837
B0205.9.2,1938
B0207.1.1,1955
B0207.10.1,276
B0207.11.1,884
B0207.12a.1,2107
B0207.12a.2,1826
B0207.12a.3,2140
B0207.12a.4,2017
B0207.12b.1,1463
B0207.12c.1,2290
B0207.12c.2,1430
B0207.2.1,816
B0207.2.2,1039
B0207.3.1,1370
B0207.4.1,1121
B0207.4.2,1193
B0207.5a.1,11033
B0207.5b.1,11063
B0207.6.1,987
B0207.7.1,1364
B0207.9.1,482
B0207.9.2,537
B0212.1a.1,1871
B0212.1b.1,2259
B0212.1c.1,2269
B0212.1c.2,2449
B0212.2.1,1218
B0212.3.1,2143
B0212.3.2,2184
B0212.4a.1,1345
B0212.4b.1,1525
B0212.4c.1,1165
B0212.4d.1,1350
B0212.4d.2,1347
B0212.4d.3,1322
B0212.4d.4,710
B0212.4d.5,584
B0212.5.1,2875
B0213.10.1,1533
B0213.11a.1,1637
B0213.11b.1,1656
B0213.11c.1,1405
B0213.12.1,1578
B0213.14.1,1641
B0213.14.2,1667
B0213.15a.1,1630
B0213.15b.1,1606
B0213.15c.1,454
B0213.15d.1,411
B0213.16.1,1571
B0213.17.1,263
B0213.17.2,310
B0213.2.1,317
B0213.2.2,308
B0213.3.1,334
B0213.4.1,358
B0213.4.2,383
B0213.4.3,365
B0213.5.1,714
B0213.6.1,451
B0213.7.1,1002
B0213.8.1,1089
B0213.9.1,1103
B0218.1.1,1823
B0218.1.2,1850
B0218.1.3,1841
B0218.1.4,1899
B0218.2.1,1922
B0218.3.1,1676
B0218.3.2,1536
B0218.3.3,1551
B0218.5.1,1305
B0218.6a.1,1020
B0218.6b.1,625
B0218.7.1,1084
B0218.8.1,1027
B0222.1.1,977
B0222.11.1,1332
B0222.15.1,479
B0222.2.1,1485
B0222.3.1,1622
B0222.4.1,1772
B0222.5.1,1522
B0222.6.1,1833
B0222.6.2,1838
B0222.6.3,1785
B0222.6.4,1787
B0222.6.5,1693
B0222.6.6,1702
B0222.6.7,1761
B0222.6.8,1009
B0222.7.1,961
B0222.8.1,1087
B0222.8.10,1945
B0222.8.11,1963
B0222.8.12,1937
B0222.8.13,1129
B0222.8.14,1006
B0222.8.15,1007
B0222.8.16,1862
B0222.8.17,1888
B0222.8.18,1868
B0222.8.19,1840
B0222.8.2,1078
B0222.8.20,1850
B0222.8.21,998
B0222.8.3,1079
B0222.8.4,1082
B0222.8.5,2050
B0222.8.6,2032
B0222.8.7,2015
B0222.8.8,1972
B0222.8.9,1947
B0222.9.1,3848
B0228.1.1,1401
B0228.4a.1,5203
B0228.4c.1,23419
B0228.4d.1,4527
B0228.4e.1,8410
B0228.5a.1,552
B0228.5b.1,593
B0228.6.1,1052
B0228.7.1,1571
B0228.7.2,925
B0228.7.3,1342
B0228.8.1,1365
B0228.9.1,1332
B0238.1.1,1811
B0238.10.1,1043
B0238.10.2,1103
B0238.10.3,1180
B0238.11.1,1119
B0238.11.2,1226
B0238.12.1,2663
B0238.12.2,1279
B0238.12.3,1361
B0238.12.4,2118
B0238.15.1,436
B0238.3.1,843
B0238.5a.1,971
B0238.6.1,972
B0238.7.1,1737
B0238.8.1,1009
B0238.8.2,1107
B0238.9.1,2018
B0240.1.1,1455
B0240.1.2,1488
B0240.2.1,2542
B0240.3a.1,3817
B0240.3b.1,3163
B0240.4.1,1965
B0244.10a.1,1357
B0244.10b.1,1192
B0244.15.1,1155
B0244.16.1,1083
B0244.17.1,1059
B0244.2.1,2633
B0244.4a.1,960
B0244.4b.1,1077
B0244.4c.1,891
B0244.5.1,1244
B0244.6.1,1125
B0244.7.1,1095
B0244.8.1,1795
B0244.9.1,632
B0250.1.1,876
B0250.10.1,921
B0250.18a.1,162
B0250.18b.1,66
B0250.2.1,842
B0250.5.1,1032
B0250.5.2,1089
B0250.6.1,852
B0250.7b.1,117
B0250.8.1,692
B0250.9.1,1481
B0250.9.2,1491
B0250.9.3,1492
B0252.1.1,2686
B0252.11.1,318
B0252.2.1,1828
B0252.2.2,1869
B0252.3a.1,1586
B0252.3a.2,1867
B0252.3a.3,1868
B0252.3b.1,1620
B0252.3c.1,1584
B0252.3c.2,1724
B0252.4a.1,447
B0252.4b.1,621
B0252.5.1,794
B0252.8.1,350
B0261.1.1,2618
B0261.1.2,2647
B0261.1.3,2576
B0261.2a.1,8562
B0261.2b.1,8553
B0261.4a.1,925
B0261.4b.1,777
B0261.5.1,1560
B0261.6a.1,617
B0261.6b.1,580
B0261.6b.2,539
B0261.6b.3,586
B0261.6b.4,571
B0261.7.1,1169
B0261.7.2,1324
B0261.8.1,664
B0261.9.1,526
B0272.1.1,1567
B0272.2.1,968
B0272.3.1,1052
B0272.4.1,969
B0273.115.1,480
B0273.1a.1,770
B0273.1a.2,758
B0273.1a.3,776
B0273.1b.1,337
B0273.2.1,1843
B0273.2.10,1913
B0273.2.11,1913
B0273.2.12,1901
B0273.2.13,1902
B0273.2.14,1915
B0273.2.15,1893
B0273.2.16,1874
B0273.2.17,1883
B0273.2.18,1887
B0273.2.19,1866
B0273.2.2,1943
B0273.2.3,1873
B0273.2.4,1876
B0273.2.5,1871
B0273.2.6,1871
B0273.2.7,1866
B0273.2.8,1857
B0273.2.9,1831
B0273.3.1,1475
B0273.4a.1,3027
B0273.4b.1,2146
B0273.4c.1,3107
B0273.4d.1,2705
B0273.4e.1,2523
B0273.4f.1,2238
B0280.10a.1,1216
B0280.10b.1,462
B0280.10c.1,1140
B0280.11.1,1390
B0280.12a.1,2764
B0280.12b.1,3036
B0280.13.1,1916
B0280.17.1,929
B0280.1a.1,1180
B0280.1b.1,2422
B0280.2.1,2007
B0280.3.1,990
B0280.3.2,953
B0280.4.1,1192
B0280.5.1,1730
B0280.7.1,1173
B0280.8.1,1546
B0280.9.1,1399
B0281.1.1,465
B0281.3.1,1097
B0281.4.1,745
B0281.5a.1,840
B0281.5b.1,721
B0281.6.1,933
B0281.8.1,879
B0284.1.1,3012
B0284.2.1,1399
B0284.3.1,659
B0284.4.1,1263
B0285.10.1,1107
B0285.1a.1,2605
B0285.1b.1,2628
B0285.1c.1,2608
B0285.1c.2,2457
B0285.3.1,746
B0285.4.1,1168
B0285.4.2,1312
B0285.5.1,2198
B0285.5.2,2198
B0285.5.3,2201
B0285.5.4,2196
B0285.5.5,2269
B0285.6.1,1818
B0285.7.1,2877
B0285.8.1,1349
B0285.9.1,1198
B0285.9.2,1266
B0285.9.3,1318
B0286.1.1,1022
B0286.1.2,1049
B0286.1.3,1107
B0286.2a.1,4420
B0286.2b.1,1783
B0286.3.1,1476
B0286.4a.1,1600
B0286.4a.2,1884
B0286.4b.1,1345
B0286.4c.1,1620
B0286.4c.2,1469
B0286.4c.3,1747
B0286.4c.4,1679
B0286.4c.5,1542
B0286.4c.6,1313
B0286.4d.1,1290
B0286.5.1,1380
B0286.6.1,1181
B0294.1.1,627
B0294.3.1,567
B0302.1a.1,4038
B0302.1a.2,4081
B0302.1b.1,3771
B0302.2.1,409
B0302.4.1,219
B0302.5.1,772
B0303.11a.1,2933
B0303.11a.2,3005
B0303.11b.1,2979
B0303.11b.2,3051
B0303.14.1,1581
B0303.15.1,688
B0303.16.1,927
B0303.2.1,978
B0303.2.2,977
B0303.3.1,1876
B0303.3.2,1643
B0303.3.3,1641
B0303.3.4,1915
B0303.3.5,1914
B0303.3.6,1910
B0303.3.7,1647
B0303.4.1,2184
B0303.4.2,2276
B0303.7a.1,1826
B0303.7b.1,1837
B0303.8.1,809
B0303.9.1,2026
B0304.1a.1,1116
B0304.1b.1,1063
B0304.1b.2,1128
B0304.1c.1,1085
B0304.1c.2,1150
B0304.2.1,815
B0304.3.1,1721
B0304.4.1,639
B0304.4.2,625
B0304.5.1,1087
B0304.5.2,1047
B0304.6.1,992
B0304.7.1,1068
B0304.8.1,1020
B0304.9.1,1065
B0310.1a.1,1092
B0310.1b.1,1340
B0310.2a.1,1592
B0310.2b.1,1403
B0310.3.1,1784
B0310.3.2,1557
B0310.3.3,1456
B0310.3.4,1400
B0310.5a.1,1892
B0310.5b.1,2613
B0310.5b.2,2750
B0310.6.1,410
B0331.1.1,1537
B0331.2.1,1823
B0334.1.1,571
B0334.1.2,545
B0334.10.1,553
B0334.11a.1,1659
B0334.11b.1,1646
B0334.13.1,497
B0334.15.1,694
B0334.15.2,549
B0334.2.1,1017
B0334.2.2,1076
B0334.20.1,206
B0334.3a.1,2012
B0334.3a.2,2088
B0334.3b.1,2052
B0334.3b.2,2038
B0334.3b.3,2022
B0334.3b.4,2018
B0334.4.1,826
B0334.5.1,1416
B0334.6.1,1374
B0334.7.1,1017
B0334.8a.1,3929
B0334.8b.1,429
B0336.10.1,469
B0336.10.2,514
B0336.10.3,521
B0336.10.4,483
B0336.11a.1,1740
B0336.11b.1,1737
B0336.11b.2,1181
B0336.12.1,501
B0336.13.1,635
B0336.1a.1,2815
B0336.1a.2,2797
B0336.1b.1,2602
B0336.2.1,1115
B0336.2.10,1275
B0336.2.11,1073
B0336.2.12,828
B0336.2.2,1116
B0336.2.3,1217
B0336.2.4,1158
B0336.2.5,1333
B0336.2.6,1312
B0336.2.7,1142
B0336.2.8,1245
B0336.2.9,1272
B0336.3a.1,2896
B0336.3b.1,2893
B0336.3c.1,2899
B0336.3d.1,2701
B0336.4a.1,1991
B0336.4b.1,1893
B0336.5a.1,862
B0336.5b.1,878
B0336.6.1,1556
B0336.6.2,1568
B0336.7a.1,1578
B0336.7b.1,1554
B0336.8.1,433
B0336.9a.1,2381
B0336.9b.1,2414
B0336.9b.2,2399
B0336.9b.3,2401
B0336.9b.4,2933
B0336.9b.5,2396
B0336.9c.1,2924
B0336.9c.2,2841
B0336.9d.1,2354
B0336.9e.1,2392
B0336.9e.2,571
B0344.2.1,2088
B0348.1.1,264
B0348.10.1,610
B0348.2a.1,461
B0348.2b.1,271
B0348.4a.1,4939
B0348.4a.2,4973
B0348.4b.1,5005
B0348.4b.2,4975
B0348.4c.1,2239
B0348.4d.1,5248
B0348.4d.2,5218
B0348.4e.1,5182
B0348.4e.2,5216
B0348.4f.1,4930
B0348.4f.2,4900
B0348.4g.1,4864
B0348.4g.2,4901
B0348.4h.1,4687
B0348.4h.2,4657
B0348.4i.1,4621
B0348.4i.2,4655
B0348.4j.1,4750
B0348.4j.2,4720
B0348.4k.1,4684
B0348.4k.2,4718
B0348.4l.1,4507
B0348.4l.2,4477
B0348.4m.1,4441
B0348.4m.2,4475
B0348.4n.1,5164
B0348.4n.2,5134
B0348.4o.1,5098
B0348.4o.2,5132
B0348.4p.1,4921
B0348.4p.2,4891
B0348.4q.1,4855
B0348.4q.2,4889
B0348.4r.1,4846
B0348.4r.2,4816
B0348.4s.1,4780
B0348.4s.2,4814
B0348.4t.1,4603
B0348.4t.2,4573
B0348.4u.1,4537
B0348.4u.2,4571
B0348.4v.1,4666
B0348.4v.2,4636
B0348.4w.1,4600
B0348.4w.2,4634
B0348.4x.1,4423
B0348.4x.2,4393
B0348.4y.1,4366
B0348.4y.2,4391
B0348.5a.1,1327
B0348.5b.1,1028
B0348.6a.1,1103
B0348.6a.2,940
B0348.6b.1,1108
B0348.6b.2,949
B0348.6c.1,1106
B0348.6c.2,946
B0348.6c.3,987
B0350.2a.1,1203
B0350.2a.2,1132
B0350.2b.1,2981
B0350.2b.2,5759
B0350.2b.3,5656
B0350.2b.4,5692
B0350.2b.5,5654
B0350.2b.6,4848
B0350.2c.1,5952
B0350.2c.2,5844
B0350.2c.3,5770
B0350.2d.1,2628
B0350.2d.10,5649
B0350.2d.11,3516
B0350.2d.2,5673
B0350.2d.3,5676
B0350.2d.4,5670
B0350.2d.5,5665
B0350.2d.6,5613
B0350.2d.7,2983
B0350.2d.8,2388
B0350.2d.9,5677
B0350.2e.1,5874
B0350.2e.2,5766
B0350.2e.3,5692
B0350.2f.1,21843
B0350.2f.2,21735
B0350.2f.3,21668
B0350.2h.1,5775
B0350.2h.2,5667
B0350.2i.1,5535
B0350.2i.2,4300
B0350.2i.3,3605
B0350.2j.1,5678
B0350.2j.2,3502
B0350.2j.3,4047
B0353.1a.1,1481
B0353.1b.1,1522
B0353.1c.1,1487
B0353.1c.2,1409
B0353.1d.1,1140
B0353.1e.1,1308
B0353.1e.2,1059
B0361.10.1,1147
B0361.10.2,731
B0361.10.3,733
B0361.11.1,1784
B0361.14.1,42
B0361.2a.1,1476
B0361.2a.2,1500
B0361.2b.1,431
B0361.2b.10,932
B0361.2b.11,796
B0361.2b.12,484
B0361.2b.2,1472
B0361.2b.3,1476
B0361.2b.4,1467
B0361.2b.5,1461
B0361.2b.6,1162
B0361.2b.7,1469
B0361.2b.8,1366
B0361.2b.9,1028
B0361.3.1,2010
B0361.3.2,2095
B0361.4.1,1260
B0361.5a.1,1447
B0361.5b.1,1438
B0361.6.1,1340
B0361.7.1,1467
B0361.7.2,1471
B0361.8.1,1538
B0361.9.1,1076
B0365.1.1,3468
B0365.3.1,3231
B0365.3.2,3153
B0365.5a.1,646
B0365.5b.1,486
B0365.6.1,2722
B0365.6.2,1927
B0365.6.3,1955
B0365.6.4,1926
B0365.7.1,9828
B0365.9.1,907
B0379.1a.1,820
B0379.2.1,835
B0379.3a.1,3426
B0379.3b.1,3414
B0379.4a.1,1948
B0379.4a.2,1874
B0379.4a.3,1606
B0379.4b.1,2358
B0379.4c.1,1592
B0379.6.1,459
B0379.7.1,1375
B0379.7.2,1366
B0379.7.3,1309
B0391.11a.1,1216
B0391.11b.1,807
B0391.12.1,1089
B0391.14.1,782
B0391.4.1,1340
B0391.5.1,1202
B0391.6.1,1553
B0391.9.1,383
B0393.1.1,993
B0393.1.2,1025
B0393.2.1,2026
B0393.2.2,2129
B0393.3.1,2154
B0393.4.1,2616
B0393.5.1,3868
B0393.6.1,1533
B0393.7.1,992
B0393.8.1,664
B0393.9a.1,648
B0393.9b.1,913
B0395.1.1,1947
B0395.1.2,1654
B0395.2.1,1559
B0395.3.1,2039
B0395.3.2,3065
B0395.3.3,2109
B0395.3.4,2104
B0399.1a.1,2611
B0399.1b.1,2542
B0399.1b.2,2479
B0399.1c.1,1973
B0399.1d.1,2275
B0399.1e.1,2278
B0399.1f.1,2388
B0399.2.1,2126
B0403.2.1,2518
B0403.2.2,2563
B0403.3.1,1535
B0403.3.2,1485
B0403.3.3,1474
B0403.3.4,1428
B0403.3.5,1488
B0403.3.6,1462
B0403.4.1,1644
B0403.5.1,1448
B0403.6.1,939
B0410.1.1,237
B0410.2a.1,1993
B0410.2b.1,1972
B0410.3.1,820
B0412.1a.1,1479
B0412.1b.1,1335
B0412.2.1,1661
B0412.3a.1,3352
B0412.3a.2,3349
B0412.3a.3,3517
B0412.3b.1,2544
B0412.3c.1,936
B0412.3d.1,3351
B0412.3d.10,3340
B0412.3d.11,2688
B0412.3d.12,558
B0412.3d.13,1712
B0412.3d.14,682
B0412.3d.15,652
B0412.3d.16,625
B0412.3d.17,436
B0412.3d.18,510
B0412.3d.19,374
B0412.3d.2,3354
B0412.3d.20,350
B0412.3d.3,3367
B0412.3d.4,3349
B0412.3d.5,3367
B0412.3d.6,3357
B0412.3d.7,3343
B0412.3d.8,3409
B0412.3d.9,3242
B0412.3e.1,279
B0412.4.1,354
B0412.4.2,227
B0412.4.3,222
B0414.1.1,1152
B0414.2.1,1158
B0414.2.2,1493
B0414.2.3,1514
B0414.3.1,867
B0414.5.1,2806
B0414.5.2,2816
B0414.6.1,2496
B0414.7a.1,4480
B0414.7a.2,4471
B0414.7a.3,4440
B0414.7b.1,4482
B0414.8a.1,2284
B0414.8b.1,2276
B0416.10.1,838
B0416.11.1,455
B0416.1a.1,3987
B0416.1b.1,3930
B0416.1c.1,3029
B0416.1d.1,2972
B0416.2.1,686
B0416.3.1,1010
B0416.4.1,770
B0416.5.1,1987
B0416.6.1,1717
B0416.7a.1,475
B0416.7a.2,487
B0416.7b.1,282
B0432.1.1,1057
B0432.10.1,950
B0432.10.2,1054
B0432.10.3,1486
B0432.11.1,692
B0432.12.1,622
B0432.13.1,1491
B0432.13.2,1433
B0432.14a.1,562
B0432.14b.1,377
B0432.2.1,721
B0432.3.1,636
B0432.4.1,1159
B0432.4.2,1078
B0432.5a.1,1683
B0432.5b.1,1531
B0432.5c.1,1752
B0432.7a.1,3273
B0432.7b.1,3019
B0432.8.1,1062
B0432.8.2,1190
B0432.8.3,1219
B0432.9.1,714
B0432.9.2,874
B0454.1.1,1260
B0454.1.2,1384
B0454.10.1,1073
B0454.2.1,975
B0454.26.1,520
B0454.3.1,1090
B0454.4.1,1011
B0454.5.1,620
B0454.6.1,1976
B0454.6.2,2048
B0454.7.1,1260
B0454.8.1,1933
B0454.9.1,1107
B0454.9.2,1134
B0457.1a.1,3389
B0457.1a.2,3651
B0457.1b.1,3383
B0457.1b.2,3645
B0457.1c.1,722
B0457.2.1,1249
B0457.2.2,1280
B0457.4.1,885
B0457.6.1,613
B0462.3.1,951
B0462.4.1,398
B0462.5.1,784
B0464.1.1,1747
B0464.1.2,1768
B0464.1.3,1789
B0464.2a.1,3644
B0464.2a.2,3862
B0464.2a.3,3756
B0464.2d.1,718
B0464.2d.2,822
B0464.2d.3,793
B0464.3.1,390
B0464.4a.1,2039
B0464.4a.2,2022
B0464.4a.3,2121
B0464.4a.4,1466
B0464.5a.1,4215
B0464.5a.2,3632
B0464.5a.3,3487
B0464.5b.1,2870
B0464.5b.2,2921
B0464.5c.1,3097
B0464.5c.2,3148
B0464.5c.3,2619
B0464.5c.4,2474
B0464.5d.1,2605
B0464.5d.2,2126
B0464.5d.3,1981
B0464.6.1,2071
B0464.6.2,2265
B0464.7.1,540
B0464.8.1,1123
B0464.9.1,1228
B0478.1a.1,1555
B0478.1b.1,1473
B0478.1b.2,1483
B0478.1b.3,1477
B0478.3.1,707
B0478.3.2,739
B0491.1.1,1425
B0491.2.1,1042
B0491.2.2,1182
B0491.2.3,1173
B0491.2.4,1173
B0491.2.5,1172
B0491.2.6,1170
B0491.2.7,1172
B0491.3.1,815
B0491.4a.1,1595
B0491.4b.1,1582
B0491.5.1,1136
B0491.5.2,1119
B0491.5.3,1218
B0491.6a.1,2082
B0491.6b.1,2159
B0491.7.1,974
B0491.8a.1,3004
B0491.8b.1,2995
B0491.8c.1,2909
B0491.8c.2,3081
B0495.1.1,1148
B0495.10a.1,2300
B0495.10a.2,2361
B0495.10b.1,2259
B0495.10c.1,2338
B0495.2a.1,2301
B0495.2b.1,2296
B0495.4.1,2054
B0495.4.2,2096
B0495.5.1,2275
B0495.5.2,2288
B0495.6.1,339
B0495.7.1,3011
B0495.7.2,2858
B0495.7.3,3054
B0495.8a.1,1122
B0495.8b.1,1447
B0495.8b.2,1321
B0495.8b.3,1178
B0495.9.1,932
B0496.1.1,993
B0496.11.1,371
B0496.2.1,1126
B0496.3a.1,4764
B0496.3b.1,5049
B0496.3c.1,2511
B0496.3c.2,1691
B0496.3d.1,4977
B0496.3e.1,5684
B0496.3f.1,4947
B0496.3g.1,4878
B0496.3h.1,4848
B0496.3i.1,5092
B0496.5.1,1298
B0496.6.1,855
B0496.7.1,503
B0496.8.1,1675
B0507.1.1,2038
B0507.10.1,1430
B0507.11.1,939
B0507.2.1,1560
B0507.3a.1,1443
B0507.3b.1,1091
B0507.4.1,636
B0507.5a.1,645
B0507.5b.1,555
B0507.6.1,2130
B0507.6.2,2181
B0507.7.1,874
B0507.8.1,1341
B0507.9.1,836
B0511.1.1,1495
B0511.10.1,1692
B0511.11.1,1795
B0511.12a.1,6962
B0511.12b.1,6867
B0511.13a.1,726
B0511.13b.1,1171
B0511.13b.2,1329
B0511.13b.3,1185
B0511.17.1,262
B0511.19.1,666
B0511.3.1,998
B0511.4.1,1188
B0511.5.1,1116
B0511.5.2,1185
B0511.6.1,1806
B0511.7.1,1012
B0511.8.1,1689
B0511.8.2,1705
B0511.9a.1,895
B0511.9b.1,971
B0511.9c.1,902
B0511.9d.1,869
B0513.1a.1,3634
B0513.1a.2,3590
B0513.1a.3,3579
B0513.1a.4,3647
B0513.1b.1,2264
B0513.1c.1,3625
B0513.1c.2,3635
B0513.2a.1,766
B0513.2a.2,663
B0513.2b.1,214
B0513.3a.1,240
B0513.3b.1,128
B0513.4a.1,441
B0513.4b.1,174
B0513.5a.1,2093
B0513.5b.1,1783
B0513.90.1,408
B0513.9a.1,433
B0513.9b.1,427
B0523.3.1,1716
B0523.3.2,2006
B0523.5.1,4615
B0524.2.1,1114
B0524.3.1,1692
B0524.4.1,2319
B0524.5.1,617
B0524.6.1,1860
B0524.6.2,1961
B0524.6.3,2061
B0545.1a.1,2969
B0545.1a.2,2851
B0545.1b.1,2822
B0545.1b.2,2793
B0545.1b.3,2776
B0545.1b.4,2695
B0545.1b.5,2471
B0545.1b.6,2344
B0545.3.1,1116
B0545.4.1,900
B0545.4.2,796
B0545.4.3,584
B0546.1.1,479
B0546.1.2,473
B0546.1.3,583
B0546.1.4,396
B0546.2a.1,1581
B0546.2a.2,1686
B0546.2b.1,1209
B0546.3a.1,2162
B0546.3a.2,1998
B0546.3b.1,1846
B0546.3b.2,1689
B0546.3c.1,1417
B0546.3c.2,1260
B0546.4a.1,748
B0546.4b.1,1096
B0546.4c.1,320
B0546.5.1,1120
B0547.1.1,1203
B0547.1.2,1224
B0547.2.1,183
B0547.4a.1,966
B0547.4b.1,531
B0554.1.1,228
B0554.2.1,1890
B0554.4.1,1812
B0554.5.1,1564
B0554.6.1,1323
B0554.7a.1,1452
B0554.7b.1,603
B0554.7c.1,286
B0563.1.1,564
B0563.10.1,383
B0563.18.1,683
B0563.2a.1,1436
B0563.2a.2,1443
B0563.2a.3,1341
B0563.2b.1,1260
B0563.4.1,1082
B0563.5.1,542
B0563.6a.1,2824
B0563.6b.1,1581
B0563.6c.1,1399
B0563.7.1,901
B0563.8.1,258
B0563.9.1,303
B0564.10a.1,1210
B0564.10b.1,1231
B0564.10c.1,678
B0564.10d.1,672
B0564.11.1,1273
B0564.11.2,1284
B0564.1a.1,1193
B0564.1a.2,1194
B0564.1a.3,1146
B0564.1a.4,1136
B0564.1a.5,1192
B0564.1b.1,1190
B0564.1b.10,1182
B0564.1b.11,1152
B0564.1b.2,1180
B0564.1b.3,1136
B0564.1b.4,1173
B0564.1b.5,850
B0564.1b.6,1207
B0564.1b.7,1117
B0564.1b.8,1200
B0564.1b.9,1098
B0564.1c.1,973
B0564.1c.2,588
B0564.2a.1,757
